"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN"
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-11",,"0.48",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-12",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-13",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-14",,"0.00",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-15",,"0.12",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-16",,"0.48",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-17",,"0.01",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-18",,"1.88",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-19",,"0.55",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-20",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-21",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-22",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-23",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-24",,"0.48",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-25",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-26",,"0.68",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-27",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-28",,"0.27",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-29",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-03-30",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-01",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-02",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-03",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-04",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-05",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-06",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-07",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-08",,"0.67",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-09",,"0.05",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-10",,"0.23",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-11",,"0.93",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-12",,"0.04",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-13",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-14",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-15",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-16",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-17",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-18",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-19",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-20",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-21",,"0.35",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-22",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-23",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-24",,"0.13",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-25",,"0.31",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-26",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-27",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-28",,"0.03",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-29",,"0.51",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-04-30",,"0.00",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-01",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-02",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-03",,"0.24",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-04",,"0.24",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-05",,"0.26",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-06",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-09",,"0.65",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-10",,"0.22",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-11",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-12",,"0.00",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-13",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-14",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-15",,"0.00","0.0",,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-16",,"0.01",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-17",,"1.04",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-18",,"1.14",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-19",,"0.34",,,,
"US1ILSG0064","SPRINGFIELD 1.6 WNW, IL US","2021-05-20",,"0.00","0.0",,,
